"id","title","type","release","year","end","studio","platform","saga","phase","earth","univName","universe","inuniv","dpos","dateCertainty","runtime","seasons","episodes","gross","budget","director","connections","tmdbId","poster"
"elektra","Elektra","film","2005-01-14","2005",,"20th Century Fox","Theatrical","Pre-MCU Marvel Films","—","Earth-701306","Hell's Kitchen (2003)","dd03","2005",,"n/a","97",,,"56681566","43000000","Rob Bowman","2","9947","gC6s6NKHneSrOKyQZnUMb443RKU.jpg"
"man-thing","Man-Thing","film","2005-04-30","2005",,"Lionsgate / Sci Fi Channel","TV premiere (US)","Pre-MCU Marvel Films","—","Earth-58460","The Nexus Swamp","manthing","2005",,"n/a","97",,,"1123136","5000000","Brett Leonard","0","18882","kfPPnOygXSGaBFpsCUyu7xQdkoO.jpg"
"punisher-war-zone","Punisher: War Zone","film","2008-12-05","2008",,"Lionsgate","Theatrical","Pre-MCU Marvel Films","—","Earth-47281","War Zone","punwz","2008",,"n/a","103",,,"10100036","35000000","Lexi Alexander","0","13056","oOvKJgYUIpfswGHAdW6159bPbvM.jpg"
"big-hero-6","Big Hero 6","film","2014-11-07","2014",,"Walt Disney Animation Studios","Theatrical","Disney Marvel Animation","—","Earth-14123","San Fransokyo","bh6","Near future",,"n/a","102",,,"657827828","165000000","Don Hall & Chris Williams","1","177572","2mxS4wUimwlLmI1xp6QW6NSU361.jpg"
"tv-incredible-hulk-1977","The Incredible Hulk","series","1977-11-04","1977","1982-05-12","Universal Television","CBS","Classic Marvel TV","—","Earth-400005","The Bixby Hulk","hulktv","1977–1982",,"n/a",,"5","80",,,"Kenneth Johnson","1","648","8q7uFuNuMWTWfcpnCpBuZa3KZXx.jpg"
"tv-hulk-returns","The Incredible Hulk Returns","tv-movie","1988-05-22","1988",,"New World Television","NBC","Classic Marvel TV","—","Earth-400005","The Bixby Hulk","hulktv","1988",,"n/a","100",,,,,"Nicholas Corea","2","26881","rDAWdpW0uzUj9c4YPeuanPGWHBq.jpg"
"tv-trial-of-hulk","The Trial of the Incredible Hulk","tv-movie","1989-05-07","1989",,"New World Television","NBC","Classic Marvel TV","—","Earth-400005","The Bixby Hulk","hulktv","1989",,"n/a","100",,,,,"Bill Bixby","2","26883","jaaeLvonWry3TdTXaGSu2VveNEG.jpg"
"tv-death-of-hulk","The Death of the Incredible Hulk","tv-movie","1990-02-18","1990",,"New World Television","NBC","Classic Marvel TV","—","Earth-400005","The Bixby Hulk","hulktv","1990",,"n/a","96",,,,,"Bill Bixby","1","19593","6q6CviMLR97ssODmKhxgyxQuoYp.jpg"
"tv-amazing-spider-man-1977","The Amazing Spider-Man","series","1977-09-14","1977","1979-07-06","Charles Fries Productions","CBS","Classic Marvel TV","—","Unclassified","Unassigned Realities","unclassified","1977–1979",,"n/a",,"2","13",,,"Alvin Boretz","0","4552","kUTCJhSnH3Dt0KVzcQp8DnbmsjN.jpg"
"tv-captain-america-1979","Captain America","tv-movie","1979-01-19","1979",,"Universal Television","CBS","Classic Marvel TV","—","Earth-600043","The CBS Captain America","cap79","1979",,"n/a","97",,,,,"Rod Holcomb","0","197467","gNGq4u0cymxZqGADZrx7AWrSB5m.jpg"
"tv-dr-strange-1978","Dr. Strange","tv-movie","1978-09-06","1978",,"Universal Television","CBS","Classic Marvel TV","—","Unclassified","Unassigned Realities","unclassified","1978",,"n/a","93",,,,,"Philip DeGuere Jr.","0","50468","hEyHVgBE28Jl13h2Qpbr3LH77sP.jpg"
"tv-power-pack","Power Pack","tv-movie","1991-09-28","1991",,"New World Television","Fox","Classic Marvel TV","—","Unclassified","Unassigned Realities","unclassified","1991",,"n/a","25",,,,,"Tony Bill","0","50806","8sZAIKkqzvbCKJqCGfiDOik4aKv.jpg"
"generation-x-1996","Generation X","tv-movie","1996-02-20","1996",,"Marvel Films / New World","Fox","Classic Marvel TV","—","Unclassified","Unassigned Realities","unclassified","1996",,"n/a","92",,,,,"Jack Sholder","0","26623","wqkTCfznNXtYO9UnnxComqhhHRP.jpg"
"tv-nightman","NightMan","series","1997-09-19","1997","1999-05-17","Tribune Entertainment","Syndication","Classic Marvel TV","—","Unclassified","Unassigned Realities","unclassified","1997–1999",,"n/a",,"2","44",,,"Glen A. Larson","0","13084","d5rE9WSSsRTuvfjRb9dOpnIMAOJ.jpg"
"nick-fury-1998","Nick Fury: Agent of S.H.I.E.L.D.","tv-movie","1998-05-26","1998",,"20th Century Fox Television","Fox","Classic Marvel TV","—","Unclassified","Unassigned Realities","unclassified","1998",,"n/a","96",,,,,"Rod Hardy","0","27460","4T0YjvnBaMASZkkRKxMIe6IoWO0.jpg"
"tv-mutant-x","Mutant X","series","2001-10-06","2001","2004-05-17","Marvel Studios / Tribune","Syndication","Classic Marvel TV","—","Unclassified","Unassigned Realities","unclassified","2001–2004",,"n/a",,"3","66",,,"Avi Arad","0","1449","yiKg027jdpkSsguVBI9WqliNWez.jpg"
"an-marvel-super-heroes","The Marvel Super Heroes","series","1966-09-05","1966","1966-12-02","Grantray-Lawrence Animation","Syndication","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","1966",,"n/a",,"1","65",,,"Grantray-Lawrence","0","2164","nkY0h3WxWWKIxrcpUJdziMV3IN3.jpg"
"an-spider-man-1967","Spider-Man","series","1967-09-09","1967","1970-06-14","Grantray-Lawrence / Krantz","ABC","Marvel Animation","—","Earth-67","The 1967 Cartoon","e67","1967–1970",,"n/a",,"3","52",,,"Ralph Bakshi (S2-3)","1","1482","y85QOYMhcZsEfHbrntBv5SZXH1w.jpg"
"an-fantastic-four-1967","Fantastic Four","series","1967-09-09","1967","1968-09-21","Hanna-Barbera","ABC","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","1967",,"n/a",,"1","20",,,"Hanna & Barbera","0","1651","8zwysNUXr5z3mDZSFEv1fZ8qo08.jpg"
"an-fantastic-four-1978","The New Fantastic Four","series","1978-09-09","1978","1978-12-16","DePatie-Freleng","NBC","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","1978",,"n/a",,"1","13",,,"DePatie-Freleng","0","2373","kEyV8MffIg2Zmmaif5GHeiHYHq4.jpg"
"an-spider-woman","Spider-Woman","series","1979-09-22","1979","1980-01-05","DePatie-Freleng","ABC","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","1979",,"n/a",,"1","16",,,"DePatie-Freleng","0","4784","cXiD1jVLjTyvO3w2jKq9QdlAYag.jpg"
"an-amazing-friends","Spider-Man and His Amazing Friends","series","1981-09-12","1981","1983-11-05","Marvel Productions","NBC","Marvel Animation","—","Earth-8107","The Marvel Productions Universe","e8107","1981–1983",,"n/a",,"3","24",,,"Dennis Marks","0","1269","fG5wT0tJ8HIqGBSHe47uQJhmI1A.jpg"
"an-hulk-1982","The Incredible Hulk","series","1982-09-18","1982","1982-12-11","Marvel Productions","NBC","Marvel Animation","—","Earth-8107","The Marvel Productions Universe","e8107","1982",,"n/a",,"1","13",,,"Marvel Productions","0","11328","svLkVHmyTFcU57MgkDstnMajDYT.jpg"
"an-xmen-tas","X-Men: The Animated Series","series","1992-10-31","1992","1997-09-20","Marvel Entertainment / Saban","Fox Kids","Marvel Animation","—","Earth-92131","The '90s Animated Universe","e92131","1992–1997",,"n/a",,"5","76",,,"Eric Lewald","2","4574","2OFwsFhAobczgJWnVdwd9oZAF2N.jpg"
"an-iron-man-1994","Iron Man","series","1994-09-24","1994","1996-02-24","Marvel Entertainment Group","Syndication","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","1994–1996",,"n/a",,"2","26",,,"Marvel Films","0","3097","4SdlLIkUQYylkgivWRlSqIHhasy.jpg"
"an-fantastic-four-1994","Fantastic Four","series","1994-09-24","1994","1996-02-24","Marvel Films","Syndication","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","1994–1996",,"n/a",,"2","26",,,"Marvel Films","0","2901","jPVGruDYZtImosRkNv7eZhqxT1p.jpg"
"an-spider-man-tas","Spider-Man: The Animated Series","series","1994-11-19","1994","1998-01-31","Marvel Films Animation","Fox Kids","Marvel Animation","—","Earth-92131","The '90s Animated Universe","e92131","1994–1998",,"n/a",,"5","65",,,"John Semper Jr.","0","888","1BX1HZZqDoLDx9Ry4oET6dA9293.jpg"
"an-incredible-hulk-1996","The Incredible Hulk","series","1996-09-08","1996","1997-11-23","New World / Saban","UPN","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","1996–1997",,"n/a",,"2","21",,,"Bob Forward","0","6332","wa60s9NSvrH87NFCArmobnIyNnh.jpg"
"an-silver-surfer","Silver Surfer","series","1998-02-07","1998","1998-05-16","Marvel Studios / Saban","Fox Kids","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","1998",,"n/a",,"1","13",,,"Larry Brody","0","1130","18rhdRDXAAHUTsbWtIQn2ZkjRL9.jpg"
"an-spider-man-unlimited","Spider-Man Unlimited","series","1999-10-02","1999","2001-03-31","Marvel Studios / Saban","Fox Kids","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","Counter-Earth",,"n/a",,"1","13",,,"Will Meugniot","1","10079","hNdf1WmFil9IV7rabBe6PnAmYnI.jpg"
"an-united-they-stand","The Avengers: United They Stand","series","1999-10-30","1999","2000-02-26","Marvel Studios / Saban","Fox Kids","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","1999–2000",,"n/a",,"1","13",,,"Marvel Studios","0","1300","oNd4XaBeBkOOJYKK5k76zz2Debg.jpg"
"an-xmen-evolution","X-Men: Evolution","series","2000-11-04","2000","2003-10-25","Film Roman / Marvel Studios","Kids' WB","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2000–2003",,"n/a",,"4","52",,,"Boyd Kirkland","0","668","At5aZIKkN8zHTAXOnQR9D3b7usW.jpg"
"an-spider-man-mtv-2003","Spider-Man: The New Animated Series","series","2003-07-11","2003","2003-09-12","Mainframe / Sony","MTV","Marvel Animation","—","Earth-96283","The Raimi Universe","raimi","Between Spider-Man 1 & 2",,"n/a",,"1","13",,,"Brandon Vietti","1","1664","9g1YPyKtpB0aNlgVb0N8YASKLZN.jpg"
"an-f4-worlds-greatest","Fantastic Four: World's Greatest Heroes","series","2006-09-02","2006","2010-02-25","Marvel Studios / MoonScoop","Cartoon Network","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2006–2007",,"n/a",,"1","26",,,"Marvel / MoonScoop","0","132","zCtCW0JlbMpzfQDAX1bO1o1KLi.jpg"
"an-spectacular-spider-man","The Spectacular Spider-Man","series","2008-03-08","2008","2009-11-18","Marvel Entertainment / Sony","The CW / Disney XD","Marvel Animation","—","Earth-26496","The Spectacular Spider-Man","spectacular","2008–2009",,"n/a",,"2","26",,,"Greg Weisman","0","3854","dCNxOhXT7c4lqYuRpdM3m8s9XDp.jpg"
"an-wolverine-and-xmen","Wolverine and the X-Men","series","2009-01-23","2009","2009-11-29","Marvel Studios / Toonz","Nicktoons","Marvel Animation","—","Earth-8096","Earth's Mightiest Heroes","emh","Present / 2039",,"n/a",,"1","26",,,"Greg Johnson","1","6549","oSeJ2nESB77iC6SLo4qcqoadjdt.jpg"
"an-armored-adventures","Iron Man: Armored Adventures","series","2009-04-24","2009","2012-07-25","Method Films / Marvel Animation","Nicktoons","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2009–2012",,"n/a",,"2","52",,,"Christopher Yost","0","7330","kIJGgBwh37V2nfgnJFaN7zDIjdv.jpg"
"an-super-hero-squad","The Super Hero Squad Show","series","2009-09-14","2009","2011-10-14","Marvel Animation / Film Roman","Cartoon Network","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","Super Hero City",,"n/a",,"2","52",,,"Stan Lee (host)","0","21781","3CdaaPZdU1Xv2c6hDaSVWhsXtuO.jpg"
"an-emh","The Avengers: Earth's Mightiest Heroes","series","2010-09-22","2010","2012-11-11","Marvel Animation / Film Roman","Disney XD","Marvel Animation","—","Earth-8096","Earth's Mightiest Heroes","emh","2010–2012",,"n/a",,"2","52",,,"Christopher Yost","1","33623","r1JDhMrqCOZKh7lc0vQlRYQ46cE.jpg"
"an-anime-iron-man","Marvel Anime: Iron Man","series","2010-10-01","2010","2010-12-17","Madhouse","Animax / G4","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2010",,"n/a",,"1","12",,,"Yuzo Sato","0","45418","zOTJT7JbzSrMBX2OCGPqUnkQA4y.jpg"
"an-anime-wolverine","Marvel Anime: Wolverine","series","2011-01-07","2011","2011-03-25","Madhouse","Animax / G4","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2011",,"n/a",,"1","12",,,"Rintaro","0","38247","dy8w7wSioNAgAykP91hiSGVgxJJ.jpg"
"an-anime-xmen","Marvel Anime: X-Men","series","2011-04-01","2011","2011-06-24","Madhouse","Animax / G4","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2011",,"n/a",,"1","12",,,"Rintaro","0","43146","j4MRuaMIpbq8jpXt864R9ebzzuS.jpg"
"an-anime-blade","Marvel Anime: Blade","series","2011-07-01","2011","2011-09-16","Madhouse","Animax / G4","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2011",,"n/a",,"1","12",,,"Hiroshi Hamasaki","0","62798","ql9YpFD8J1zeWzLMHHjp4nKKD4n.jpg"
"an-ultimate-spider-man","Ultimate Spider-Man","series","2012-04-01","2012","2017-01-07","Marvel Animation / Film Roman","Disney XD","Marvel Animation","—","Earth-12041","The Marvel Animated Universe","usm","2012–2017",,"n/a",,"4","104",,,"Paul Dini & Brian Bendis","1","34391","jK3pc8XOQT8UgdvSjMFk8xLQOxE.jpg"
"an-avengers-assemble","Marvel's Avengers Assemble","series","2013-05-26","2013","2019-02-24","Marvel Animation","Disney XD","Marvel Animation","—","Earth-12041","The Marvel Animated Universe","usm","2013–2019",,"n/a",,"5","127",,,"Jeph Loeb","3","59427","aVYPq7FSvsdNQOXVIFnndXJPCXn.jpg"
"an-agents-of-smash","Hulk and the Agents of S.M.A.S.H.","series","2013-08-11","2013","2015-06-28","Marvel Animation / Film Roman","Disney XD","Marvel Animation","—","Earth-12041","The Marvel Animated Universe","usm","2013–2015",,"n/a",,"2","52",,,"Paul Dini","1","40044","gkGIiIIkHOeVXzwjBNFTRqTCnqF.jpg"
"an-disk-wars","Marvel Disk Wars: The Avengers","series","2014-04-02","2014","2015-03-25","Toei Animation","TX Network","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2014–2015",,"n/a",,"1","51",,,"Toei Animation","0","70801","zXLOo1uKTnC0SUqUTIcIFH15nxZ.jpg"
"an-gotg-2015","Marvel's Guardians of the Galaxy","series","2015-09-05","2015","2019-06-09","Marvel Animation","Disney XD","Marvel Animation","—","Earth-12041","The Marvel Animated Universe","usm","2015–2019",,"n/a",,"3","79",,,"Marvel Animation","1","63181","oXwe3wVhdvvxiixL9UJf6PgBybZ.jpg"
"an-spider-man-2017","Marvel's Spider-Man","series","2017-08-19","2017","2020-10-25","Marvel Animation","Disney XD","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2017–2020",,"n/a",,"3","58",,,"Kevin Shinick","0","72705","dKdcyyHUR5WTMnrbPdYN5y9xPVp.jpg"
"an-future-avengers","Marvel Future Avengers","series","2017-07-22","2017","2018-10-22","Madhouse / Disney Japan","Dlife / Tokyo MX","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","2017–2018",,"n/a",,"2","39",,,"Madhouse","0","91278","buxBvftqx3g57FTYtdrfGSHlWfQ.jpg"
"an-big-hero-6-series","Big Hero 6: The Series","series","2017-11-20","2017","2021-02-15","Disney Television Animation","Disney XD","Disney Marvel Animation","—","Earth-14123","San Fransokyo","bh6","After Big Hero 6",,"n/a",,"3","56",,,"Mark McCorkle & Bob Schooley","1","68665","ldG4xXImCPyv5U5gbRmlB8On842.jpg"
"an-marvel-rising","Marvel Rising: Secret Warriors","film","2018-09-30","2018",,"Marvel Animation","Disney XD","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","Present day",,"n/a","80",,,,,"Alfred Gimeno","0","491633","rXmc4jvDBU04Wp8r5JMWy3HbhB3.jpg"
"an-super-crooks","Super Crooks","series","2021-11-25","2021","2021-11-25","Bones / Millarworld","Netflix","Millarworld","—","Unclassified","Unassigned Realities","unclassified","Present day",,"n/a",,"1","13",,,"Motonobu Hori","0","127599","8n1Zd4fG1eTf4adUBd7EQVEzWur.jpg"
"an-spidey-amazing-friends","Marvel's Spidey and His Amazing Friends","series","2021-08-06","2021",,"Marvel Animation / Atomic Cartoons","Disney Junior","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","Present day",,"n/a",,"5","110",,,"Harrison Wilcox","0","127635","etO5jDS5WgR4Y1lTyXhQcilJ6u2.jpg"
"an-moon-girl","Marvel's Moon Girl and Devil Dinosaur","series","2023-02-10","2023","2025-03-08","Disney TV Animation / Marvel Animation","Disney Channel","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","Present day",,"n/a",,"2","41",,,"Steve Loter","0","92788","1oFkjiF9fT2asKWjRiJtlbhu3hn.jpg"
"an-iron-man-awesome-friends","Iron Man and His Awesome Friends","series","2025-08-11","2025",,"Marvel Studios Animation / Atomic","Disney Junior","Marvel Animation","—","Unclassified","Unassigned Realities","unclassified","Present day",,"n/a",,"1","30",,,"Harrison Wilcox","0","274388","3NlFaIdOkBg2VC3Imi1kbeeGynw.jpg"
